epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2549,1.40557,2.20175,1.57461,0.4157,0.23291,0.20606,0.08748,2.13748,2.23162,2.16634,0.00033241,0.00033241,0.00033241
2,59.1893,1.52633,1.88349,1.67152,0.39412,0.28564,0.24286,0.10123,2.06392,2.26735,2.14069,0.000659152,0.000659152,0.000659152
3,87.4904,1.51396,1.8841,1.66673,0.44506,0.2895,0.22119,0.09131,2.1565,2.574,2.2383,0.000979295,0.000979295,0.000979295
4,115.206,1.47303,1.7781,1.64246,0.41361,0.34954,0.31833,0.13139,1.99776,2.14806,2.06881,0.0009703,0.0009703,0.0009703
5,143.01,1.41298,1.69152,1.59915,0.54404,0.38619,0.37488,0.16821,1.92506,1.95406,2.01631,0.0009604,0.0009604,0.0009604
6,170.674,1.37521,1.5917,1.56227,0.44867,0.4486,0.40309,0.19069,1.84075,1.7486,1.91835,0.0009505,0.0009505,0.0009505
7,198.348,1.34218,1.52615,1.54011,0.46643,0.43546,0.42164,0.17881,1.90119,1.84332,2.01289,0.0009406,0.0009406,0.0009406
8,226.084,1.30396,1.48789,1.51285,0.47332,0.47203,0.45449,0.2034,1.79776,1.75706,1.87424,0.0009307,0.0009307,0.0009307
9,253.798,1.27432,1.44221,1.4935,0.54841,0.46742,0.49414,0.2377,1.78406,1.56843,1.81332,0.0009208,0.0009208,0.0009208
10,281.381,1.26298,1.41429,1.48561,0.53272,0.44067,0.46819,0.21281,1.82731,1.69696,1.86119,0.0009109,0.0009109,0.0009109
11,308.943,1.24411,1.35847,1.46959,0.69851,0.47842,0.54016,0.26327,1.73949,1.49535,1.84063,0.000901,0.000901,0.000901
12,336.263,1.21639,1.32628,1.44389,0.51901,0.52656,0.50583,0.24264,1.68775,1.49421,1.72792,0.0008911,0.0008911,0.0008911
13,363.673,1.20325,1.30354,1.43152,0.5265,0.55912,0.53499,0.26815,1.6904,1.42001,1.77866,0.0008812,0.0008812,0.0008812
14,391.248,1.21073,1.29322,1.44207,0.45932,0.55193,0.51219,0.2497,1.67283,1.45523,1.73126,0.0008713,0.0008713,0.0008713
15,418.723,1.1872,1.26228,1.41913,0.56957,0.48679,0.5125,0.26052,1.67594,1.44845,1.71707,0.0008614,0.0008614,0.0008614
16,446.028,1.16676,1.25211,1.41871,0.5724,0.52798,0.55936,0.28477,1.62504,1.3693,1.69511,0.0008515,0.0008515,0.0008515
17,473.21,1.16454,1.22681,1.40696,0.58341,0.53209,0.56481,0.28848,1.62106,1.38798,1.69028,0.0008416,0.0008416,0.0008416
18,500.303,1.14562,1.19842,1.38891,0.63703,0.56497,0.6109,0.30072,1.61968,1.29976,1.68094,0.0008317,0.0008317,0.0008317
